time,theta1,omega1,theta2,omega2,x1,y1,x2,y2
5.8100000000000005,1.5666022550797034,1.2792539697677632,1.0945807839937216,1.540916353207409,0.9999912048941163,0.004194059419417727,1.888727355212398,0.4626131418292153
5.82,1.578833364107856,1.1671597053977143,1.1100881692664266,1.5600884925350553,0.9999677031894639,-0.00803695078921598,1.8957055908677,0.4365455911281783
5.83,1.589949168698961,1.05618111310949,1.1257735477985553,1.5765589658673802,0.9998165899303154,-0.019151670948390244,1.9024174496937936,0.4113267698058829
5.84,1.5999604591383378,0.9462441912465096,1.1416112268190437,1.5905929570824178,0.9995747568343702,-0.029159998276913585,1.9088799126938107,0.3869699496088865
5.8500000000000005,1.6088772649890766,0.8372708695417685,1.1575781739913746,1.602457023249741,0.9992750086921317,-0.038071734966245226,1.9151082989163433,0.3634869587724102
5.86,1.6167088166130739,0.729179456040914,1.1736540211524678,1.612417130041318,0.9989462067714032,-0.04589636126126875,1.921116276977649,0.34088828374911384
5.87,1.6234635114155995,0.6218851435516312,1.1898210492533003,1.6207368397144726,0.9986134043918333,-0.052642839674098184,1.9269158479649442,0.31918315895454935
5.88,1.6291488856590421,0.5153006248631327,1.2060641555301657,1.6276755533258505,0.9982979724725449,-0.05831944921898562,1.9325173014107793,0.2983796472729947
5.89,1.6337715931636012,0.4093368623555398,1.2223708029768994,1.6334867132546695,0.9980177131694877,-0.06293364918663163,1.937929145883895,0.27848471389999296
5.9,1.6373373926606531,0.3039040562988371,1.2387309512590507,1.6384158736877246,0.9977869600164385,-0.06649197260688083,1.9431580156755497,0.25950429596375446
5.91,1.6398511460078786,0.1989128564156597,1.2551369672869899,1.6426985463827317,0.9976166632895297,-0.06899995019610657,1.9482085551006612,0.24144337027146928
5.92,1.641316829926003,0.09427586233886695,1.2715835127325168,1.6465577278812782,0.9975144596538799,-0.07046206625857711,1.9530832821137256,0.2243060214692223
5.93,1.6417375643781487,-0.01009054057353942,1.2880674048312897,1.6502010137871854,0.9974847255471638,-0.07088174870937632,1.9577824332998808,0.20809551288173928
5.94,1.6411156611758497,-0.11426396430454766,1.3045874458760092,1.653817207613622,0.9975286142354473,-0.07026139609706221,1.9623037928874854,0.19281436230140336
5.95,1.6394526968371983,-0.21831337831667166,1.321144215909012,1.657572338504754,0.9976440770700564,-0.06860244519720386,1.9666425092909772,0.17846442500881482
5.96,1.63674961409915,-0.3222960143898645,1.3377398223323835,1.661605017094059,0.9978258702106693,-0.06590548337066156,1.9707909038839064,0.1650469863048894
5.97,1.6330068567294125,-0.4262538014969485,1.3543775995701623,1.6660210859574245,0.9980655489880158,-0.062170410351312,1.9747382782690621,0.15256286578145695
5.98,1.6282245422946506,-0.5302093453386902,1.3710617516868289,1.670887565411301,0.998351453182587,-0.05739665432947158,1.978470728285838,0.1410125354049699
5.99,1.6224026771875621,-0.6341615115608452,1.387796931186227,1.6762259620572004,0.9986686878031853,-0.05158344697152422,1.9819709753704977,0.13039625317354894
6.0,1.6155414173278517,-0.7380807344008132,1.4045877483340485,1.68200510132288,0.9989991054461617,-0.04473016116412739,1.9852182285996918,0.12071421355523962
6.01,1.6076413763370876,-0.8419042553992856,1.421438207554023,1.688133769221849,0.9993212979487603,-0.03683671356140316,1.9881880936479022,0.1119667150406009
6.0200000000000005,1.5987039804455896,-0.9455315987371756,1.4383510710425103,1.6944536013573104,0.9996106067076703,-0.027904031205604224,1.9908525476959174,0.10415434386335093
6.03,1.5887318657562723,-1.048820704522417,1.4553271549812474,1.7007328302681286,0.9998391625327159,-0.017934577382177935,1.9931800016028869,0.09727817119786741
6.04,1.577729308698254,-1.151585255368,1.4723645707202855,1.7066616763178737,0.9999759669772288,-0.006932926363097749,1.9951354717893834,0.09133995892082665
6.05,1.5657026746652694,-1.2535938221261242,1.4894579319118362,1.711850309910296,0.9999870273820394,0.00509363010360718,1.9966808835133563,0.08634236640200178
6.0600000000000005,1.552660863337957,-1.354571489828901,1.5065975582658906,1.7158303779337032,0.9998355569897159,0.018134469362639884,1.9977755237277037,0.08228914796820913
6.07,1.5386157227734634,-1.454204567333046,1.523768716326408,1.7180610205532705,0.9994822490462524,0.032175049983567586,1.998376654756271,0.07918532802176981
6.08,1.5235823991178936,-1.552148799357958,1.5409509458485293,1.7179400547719659,0.9988856295484324,0.04719638843843816,1.9984402892251087,0.07703733880272083
6.09,1.507579586140861,-1.64804116928825,1.5581175249929082,1.7148205400806777,0.9980024872145532,0.06317464296349971,1.9979221122836974,0.07585310507772852
6.1000000000000005,1.4906296401262316,-1.7415149189235897,1.575235126565463,1.7080322856025068,0.9967883717407746,0.08008084641395377,1.9967785202852482,0.07564206121960987
6.11,1.4727585320495828,-1.8322168746661929,1.5922637093114298,1.6969070864839968,0.9951981433005457,0.09788082330643973,1.9949677278935771,0.07641508962046165
6.12,1.4539956207025149,-1.919825659386975,1.609156672329258,1.6808057320842331,0.9931865488030756,0.11653531343174964,1.9924508809672115,0.07818437518294963
6.13,1.4343732465999766,-2.004069011432389,1.6258612781532644,1.6591442895772361,0.9907087950978388,0.1360003063077005,1.9891931037053543,0.08096317825243338
6.140000000000001,1.4139261650023691,-2.084738341874887,1.642319323896201,1.6314170004495532,0.9877210873921212,0.1562275696569774,1.9851644080132194,0.08476553674189091
6.15,1.3926908541589724,-2.161698899268218,1.6584680143180834,1.5972134263105637,0.9841811033890028,0.17716533445345636,1.9803404020113409,0.08960591595235216
6.16,1.370704748689487,-2.234894454368774,1.6742409704205263,1.556228217758034,0.9800483799706615,0.19875908260223468,1.9747027522466816,0.09549883026767675
6.17,1.3480054553015386,-2.3043461558444562,1.6895692958825537,1.508262906170405,0.975284598674755,0.22095237402621862,1.96823937768203,0.10245846343747254
6.18,1.3246300076352953,-2.3701459780147527,1.7043826231357304,1.4532202044769844,0.9698537671088776,0.24368764930689246,1.9609443788784628,0.11049831316398187
6.19,1.3006142094646393,-2.4324458181471624,1.718610070527255,1.391092215594024,0.963722303966453,0.26690695164718303,1.952817728674216,0.11963088155373613
6.2,1.2759921027362182,-2.491443688570256,1.7321810591940625,1.3219445200738311,0.9568590438522269,0.2905525257129976,1.943864767719863,0.12986742667601925
6.21,1.2507955817365135,-2.5473685501417567,1.7450259591839707,1.2458982889682086,0.9492351837117243,0.31456726785183625,1.9340955576724204,0.14121778327804746
6.22,1.2250541597773748,-2.600465185038884,1.7570765551820346,1.1631123899213938,0.9408241950325077,0.3388950192042277,1.92352414664449,0.15369025387188626
6.23,1.1987948822845296,-2.6509801927247474,1.7682663399414995,1.0737670383246884,0.9316017255195098,0.36348070789117803,1.9121677969998188,0.1672915658326189
6.24,1.172042371226901,-2.6991498108199767,1.77853065647164,0.9780500255612591,0.9215455114026094,0.3882703573719,1.9000462168879562,0.18202688628813715
6.25,1.144818980683326,-2.7451898951783047,1.7878067177677128,0.8761460483724053,0.9106353177908978,0.4132109848393077,1.8871808262344136,0.1978998844780053
6.26,1.1171450415671758,-2.7892880940845775,1.7960335359130015,0.7682292426289301,0.8988529203309127,0.43825041655723485,1.8735940771120094,0.21491283065407904
6.2700000000000005,1.0890391743015226,-2.8315980427440013,1.8031517918092157,0.6544587241976056,0.8861821374314401,0.46333704718859275,1.8593088387984245,0.23306672107901255
6.28,1.0605186506421864,-2.8722352848093933,1.8091036738209578,0.534976758718455,0.8726089188216721,0.488419568396755,1.8443478500618105,0.252361419814094
6.29,1.031599789059269,-2.911274582175414,1.813832709359043,0.40990910056824914,0.8581214933398328,0.5134466892173085,1.8287332355109587,0.27279580939441683
6.3,1.002298371472983,-2.94874828186984,1.8172836087309345,0.27936703089071674,0.8427105765821054,0.5383668675881303,1.8124860790720583,0.29436794388075166
6.3100000000000005,0.9726300722684197,-2.9846454494474837,1.8194021360251713,0.1434506577466942,0.8263696372634932,0.5631280694557879,1.7956260455085005,0.3170751989665619
6.32,0.9426108931423393,-3.0189115354551035,1.8201350176883404,0.0022530956583785566,0.8090952197010839,0.5876775692987224,1.7781710400239583,0.3409144147039809
6.33,0.9122575993596146,-3.0514484035779934,1.8194298959227428,-0.1441347989588897,0.790887318571299,0.6119618038105814,1.760136896040365,0.3658820269575511
6.34,0.8815881544091237,-3.082114608585696,1.8172353310758302,-0.2956194057621635,0.771749800880671,0.6359262888422248,1.7415370819363605,0.39197418390641375
6.3500000000000005,0.8506221508967696,-3.110725865078671,1.8135008547294644,-0.4520992570793684,0.7516908688201672,0.6595156084069446,1.7223824186528893,0.4191868438294427
6.36,0.8193812358737232,-3.1370556924769972,1.8081770731153188,-0.613460086246283,0.7307235557780302,0.6826734834685702,1.7026808014718324,0.4475158500748876
6.37,0.7878895287585772,-3.160836257209439,1.8012158186640095,-0.7795701801084537,0.7088662462355192,0.7053429271978023,1.6824369208565297,0.4769569785976529
6.38,0.7561740296614883,-3.1817594598416945,1.7925703458333657,-0.9502761971193043,0.68614320857208,0.7274664922389286,1.6616519789553699,0.5075059528113259
6.390000000000001,0.7242650153420079,-3.199478333323496,1.7821955657706121,-1.1253996087144233,0.6625851280075329,0.7489866141282108,1.6403234001817268,0.5391584198219602
6.4,0.6921964193116793,-3.213608828989392,1.7700483127851767,-1.3047339224177743,0.6382296250922176,0.7698460532175555,1.6184445361764943,0.5719098814650347
6.41,0.6600061918063214,-3.2237320696206084,1.7560876340118796,-1.4880428476852627,0.6131217434405736,0.7899884351814218,1.596004367412874,0.6057555730386293
6.42,0.6277366345786959,-3.229397143814386,1.7402750920240195,-1.6750595671752357,0.587314388940459,0.8093588873568358,1.572987205684345,0.6406902822989489
6.43,0.5954347047774571,-3.230124503075587,1.7225750685333125,-1.8654872745366013,0.560868701637119,0.8279047647669944,1.5493724036728316,0.676708101240014
6.44,0.5631522816607429,-3.2254100024339034,1.7029550557323816,-2.059001132826016,0.5338543410816097,0.8455764557438437,1.5251340796456287,0.7138021034879891
6.45,0.5309463896196956,-3.2147295971583034,1.681385920358115,-2.255251793632359,0.5063496663470021,0.8623282526916763,1.5002408669681067,0.7519639408515746
6.46,0.4988793710327097,-3.197544672770045,1.657842124257442,-2.4538705947601067,0.47844179333650694,0.8781192688860364,1.4746556994081197,0.7911833536982396
6.47,0.4670190029023741,-3.1733079440025054,1.6323018842059005,-2.654476523405276,0.45022651458581603,0.8929143775099089,1.4483356439888533,0.8314475913379359
6.48,0.43543855209843696,-3.1414698121905045,1.6047472530502123,-2.8566849923750817,0.4218080705894624,0.9066851446812146,1.4212317932504346,0.8727407403929679
6.49,0.4042167653769274,-3.1014850220983825,1.5751641039992859,-3.060118430035713,0.3932987667680993,0.9194107243548404,1.3932892280444102,0.9150429610381333
6.5,0.37343779217595413,-3.05281941155128,1.5435420001406561,-3.2644186319900435,0.3648184364472977,0.9310786800416756,1.3644470602755967,0.958329632743212
6.51,0.3431910404749038,-2.9949565044702915,1.5098739320590164,-3.4692607661337886,0.3364937574262297,0.9416856966170707,1.3346385622448649,1.0025704123802943
6.5200000000000005,0.31357096867254175,-2.927403665097181,1.4741559078057245,-3.6743688649115662,0.30845743753576305,0.9512381453815184,1.303791385440126,1.0477282078186154
6.53,0.284676819361195,-2.8496975145869796,1.4363863814191307,-3.8795325808113463,0.28084729255190355,0.9597524671842556,1.271827866888922,1.093758068883114
6.54,0.25661230384915984,-2.761408318560732,1.396565508724326,-4.084624923059847,0.2538052473558707,0.9672553418899403,1.2386654157785981,1.1406059941943292
6.55,0.22948524902334072,-2.662143095758837,1.3546942222664289,-4.289620631082793,0.22747629762611427,0.9737836176575961,1.2042169673792051,1.188207646279119
6.5600000000000005,0.20340722024227886,-2.551547287471595,1.310773121042914,-4.494614762990083,0.20200747382689585,0.9793839801212167,1.168391485953679,1.236486957750301
6.57,0.1784931348319934,-2.4293049851914583,1.264801175443203,-4.699840963513472,0.17754685093939146,0.9841123491357607,1.1310944940874479,1.2853545975784164
6.58,0.15486087959656103,-2.295137971230665,1.2167742540228939,-4.90568868566227,0.15424264523484935,0.9880329986346389,1.092228603727207,1.3347062477773628
6.59,0.13263094132573136,-2.1488042341703935,1.1666834875150005,-5.112718304418608,0.1322424321194044,0.9912174025647172,1.0516940255148595,1.3844206164408996
6.6000000000000005,0.11192604970715214,-1.990097260318894,1.114513498806617,-5.321672461478792,0.11169250488449685,0.9937428160005116,1.0093890395512646,1.4343570822780307
6.61,0.09287081438835833,-1.8188484090917385,1.060240549015104,-5.533480922212345,0.09273737033653022,0.9956906046272934,0.9652104251392717,1.484352828093741
6.62,0.07559130749863546,-1.6349362738239994,1.0038306853314654,-5.749254391773275,0.07551933936470467,0.9971443372861918,0.9190538733001122,1.5342192762457143
